"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","pointer-events-none src","inline-block","truncate 2"
"https://shopee.co.id/EIGER-TOMAHAWK-PINCH-STRAP-PATTERN-2-SANDALS-i.19260065.9455720968?extraParams=%7B%22display_model_id%22%3A92071459488%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/e29b6f4b0c5a60d83430a63615b28964","EIGER TOMAHAWK PINCH STRAP PATTERN 2 SANDALS","192.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-LEOPARD-SHOES-i.19260065.25834083893?extraParams=%7B%22display_model_id%22%3A98969005500%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98r-lya9km9792vv42","EIGER LEOPARD SHOES","718.254","-15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","1RB+ terjual"
"https://shopee.co.id/EIGER-PARAVEL-12L-SHOES-BAG-i.19260065.7496551140?extraParams=%7B%22display_model_id%22%3A83973833337%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mcims6jnuxw828","EIGER PARAVEL 12L SHOES BAG","183.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-TROCADERO-AZTECA-2.0-SANDALS-i.19260065.8573644414?extraParams=%7B%22display_model_id%22%3A36228328069%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98r-lodnunp2p00q7b","EIGER TROCADERO AZTECA 2.0 SANDALS","192.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.8","10RB+ terjual"
"https://shopee.co.id/EIGER-TIGERCLAW-2.5-SHOES-i.19260065.25784083590?extraParams=%7B%22display_model_id%22%3A129016736583%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r990-lya9km974v6ma4","EIGER TIGERCLAW 2.5 SHOES","709.794","-15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-HILLWANDER-TOE-SANDALS-i.19260065.29125667684?extraParams=%7B%22display_model_id%22%3A178702364785%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasa-m61zu2okrc5c94","EIGER HILLWANDER TOE SANDALS","505.100","-14%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-NORTE-SLIDER-2.0-SANDALS-i.19260065.27774228282?extraParams=%7B%22display_model_id%22%3A208168792384%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasc-m5b5qvy1mqoo7b","EIGER NORTE SLIDER 2.0 SANDALS","192.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-CAYMAN-2-SHOES-i.19260065.42002191416?extraParams=%7B%22display_model_id%22%3A275180471400%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbkb-ma86czaqicn4c9","EIGER CAYMAN 2 SHOES","760.554","-15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","619 terjual"
"https://shopee.co.id/EIGER-POLLOCK-2.0-SHOES-i.19260065.20162910143?extraParams=%7B%22display_model_id%22%3A117732893198%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-22110-gpoeabilkzjv6a","EIGER POLLOCK 2.0 SHOES","1.256.100","-15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","1RB+ terjual"
"https://shopee.co.id/EIGER-JUNIOR-TALON-SHOES-i.19260065.26987181667?extraParams=%7B%22display_model_id%22%3A234269479072%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk8-maji8dyygxnv7e","EIGER JUNIOR TALON SHOES","534.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","264 terjual"
